"Trust Code","Trust Name","efficiency_vrs","efficiency_crs","scale_efficiency","total_revenue","total_investment","net_profit_loss"
"RTP","SURREY AND SUSSEX HEALTHCARE NHS TRUST",0.161166433282404,0.132460278905556,0.821885030324224,13498744,17875000,-4376256
"RX7","NORTH WEST AMBULANCE SERVICE NHS TRUST",0.122475490042624,0.11911471830035,0.972559638331679,582362,4938102,-4355740
"RXG","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST",0.174892932142727,0.171219006651364,0.978993287799852,438612,4646206,-4207594
"RRU","LONDON AMBULANCE SERVICE NHS TRUST",0.95439412630228,0.954394126310129,1.00000000000822,0,4155627,-4155627
"RT2","PENNINE CARE NHS FOUNDATION TRUST",1,1,1,58450,3966106,-3907656
"RL1","ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST",1,1,1,490970,4360110,-3869140
"RPC","QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST",1,1,1,313303,4062000,-3748697
"RYD","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST",0.217651083566455,0.185727287605897,0.853325811948872,0,3669886,-3669886
"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST",0.13913416596495,0.139134165965956,1.00000000000723,0,3295000,-3295000
"REN","CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST",0.161799752417536,0.156446032107391,0.966911443125521,693950,3879000,-3185050
"RYF","SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST",0.272778705066816,0.254799636151057,0.934089177117565,4503,3132855,-3128352
"RGD","LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST",1,0.309410382190928,0.309410382190928,452964,3501055,-3048091
"RT1","CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST",0.640728935755352,0.636639769350509,0.993617946409706,187000,3183629,-2996629
"RDR","SUSSEX COMMUNITY NHS FOUNDATION TRUST",NA,1,NA,96426,2590000,-2493574
"RET","WALTON CENTRE NHS FOUNDATION TRUST",1,1,1,763088,2993053,-2229965
"RYW","BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST",0.202024055245011,0.186426540791829,0.922793776046785,1753975,3854927,-2100952
"RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0.227682275052637,0.221834460165297,0.974315897511182,3172560,5163000,-1990440
"RRJ","ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST",0.643442934811174,0.631069494465351,0.980769949165028,606689,2452069,-1845380
"R1D","SHROPSHIRE COMMUNITY HEALTH NHS TRUST",0.714244714885421,0.714244714891275,1.0000000000082,0,1809223,-1809223
"RX6","NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST",1,1,1,125384,1852065,-1726681
"RWG","WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",0.0490257863271904,0.0368187843902168,0.751008543636486,7062856,8678758,-1615902
"RX9","EAST MIDLANDS AMBULANCE SERVICE NHS TRUST",0.909333795812355,0.905710024587542,0.996014916368993,83207,1645306,-1562099
"RNK","TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST",1,1,1,0,1495000,-1495000
