"Trust Code","Trust Name","efficiency_vrs","efficiency_category","recommendation"
"RNN","NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",0.0778964802529102,"Low efficiency","Significant resource reallocation required"
"RCU","SHEFFIELD CHILDRENS NHS FOUNDATION TRUST",0.0803766663702344,"Low efficiency","Significant resource reallocation required"
"RXN","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0807801844023933,"Low efficiency","Significant resource reallocation required"
"RBV","THE CHRISTIE NHS FOUNDATION TRUST",0.0823164292604072,"Low efficiency","Significant resource reallocation required"
"RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0.0832125385925718,"Low efficiency","Significant resource reallocation required"
"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",0.0835298755131118,"Low efficiency","Significant resource reallocation required"
"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.0842839127788469,"Low efficiency","Significant resource reallocation required"
"RWF","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",0.0853431127525373,"Low efficiency","Significant resource reallocation required"
"RCF","AIREDALE NHS FOUNDATION TRUST",0.0857254396985113,"Low efficiency","Significant resource reallocation required"
"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST",0.0869826711617611,"Low efficiency","Significant resource reallocation required"
"RXP","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",0.090315178791411,"Low efficiency","Significant resource reallocation required"
"RJ2","THE LEWISHAM AND GREENWICH NHS TRUST",0.0929550574543464,"Low efficiency","Significant resource reallocation required"
"RWP","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",0.0966153952740171,"Low efficiency","Significant resource reallocation required"
"RWW","WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0996106356859098,"Low efficiency","Significant resource reallocation required"
"RPG","OXLEAS NHS FOUNDATION TRUST",0.0998687287831125,"Low efficiency","Significant resource reallocation required"
"RBQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST",0.103135558839549,"Low efficiency","Significant resource reallocation required"
"R1H","BARTS HEALTH NHS TRUST",0.103558718191419,"Low efficiency","Significant resource reallocation required"
"TAH","SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST",0.109822217821201,"Low efficiency","Significant resource reallocation required"
"RHQ","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.114940344389677,"Low efficiency","Significant resource reallocation required"
"RYC","EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST",0.117260931677245,"Low efficiency","Significant resource reallocation required"
"RX7","NORTH WEST AMBULANCE SERVICE NHS TRUST",0.122475490042624,"Low efficiency","Significant resource reallocation required"
"RYG","COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST",0.124094146808434,"Low efficiency","Significant resource reallocation required"
"RX8","YORKSHIRE AMBULANCE SERVICE NHS TRUST",0.126350631561819,"Low efficiency","Significant resource reallocation required"
"REF","ROYAL CORNWALL HOSPITALS NHS TRUST",0.126450038365516,"Low efficiency","Significant resource reallocation required"
"RJR","COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",0.127717635889544,"Low efficiency","Significant resource reallocation required"
"RAS","THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",0.136405748068523,"Low efficiency","Significant resource reallocation required"
"RLY","NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST",0.13913416596495,"Low efficiency","Significant resource reallocation required"
"RYE","SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST",0.140173325050279,"Low efficiency","Significant resource reallocation required"
"RV3","CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST",0.140883546796854,"Low efficiency","Significant resource reallocation required"
"RXW","SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",0.142085596957416,"Low efficiency","Significant resource reallocation required"
"REM","LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.145223130830202,"Low efficiency","Significant resource reallocation required"
"TAJ","BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST",0.148029791501971,"Low efficiency","Significant resource reallocation required"
"RJL","NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",0.148904995881721,"Low efficiency","Significant resource reallocation required"
"RNA","THE DUDLEY GROUP NHS FOUNDATION TRUST",0.149131272383961,"Low efficiency","Significant resource reallocation required"
"RX2","SUSSEX PARTNERSHIP NHS FOUNDATION TRUST",0.153067953052135,"Low efficiency","Significant resource reallocation required"
"RVJ","NORTH BRISTOL NHS TRUST",0.158458183492984,"Low efficiency","Significant resource reallocation required"
"RTP","SURREY AND SUSSEX HEALTHCARE NHS TRUST",0.161166433282404,"Low efficiency","Significant resource reallocation required"
"REN","CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST",0.161799752417536,"Low efficiency","Significant resource reallocation required"
"RY8","DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST",0.162793811206804,"Low efficiency","Significant resource reallocation required"
"RTE","GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",0.167853284316611,"Low efficiency","Significant resource reallocation required"
"RXE","ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST",0.168581639241083,"Low efficiency","Significant resource reallocation required"
"R1C","SOLENT NHS TRUST",0.172379578869849,"Low efficiency","Significant resource reallocation required"
"RXG","SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST",0.174892932142727,"Low efficiency","Significant resource reallocation required"
"RPY","THE ROYAL MARSDEN NHS FOUNDATION TRUST",0.182862640651627,"Low efficiency","Significant resource reallocation required"
"RQW","THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",0.186399481260594,"Low efficiency","Significant resource reallocation required"
"RKB","UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",0.187292799351735,"Low efficiency","Significant resource reallocation required"
"RA7","UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",0.189758553149677,"Low efficiency","Significant resource reallocation required"
"RMC","BOLTON NHS FOUNDATION TRUST",0.192613438734842,"Low efficiency","Significant resource reallocation required"
"RYW","BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST",0.202024055245011,"Low efficiency","Significant resource reallocation required"
"RFR","THE ROTHERHAM NHS FOUNDATION TRUST",0.203653366245569,"Low efficiency","Significant resource reallocation required"
"RGP","JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",0.204527461140074,"Low efficiency","Significant resource reallocation required"
"RQY","SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST",0.206454881134181,"Low efficiency","Significant resource reallocation required"
"RJN","EAST CHESHIRE NHS TRUST",0.217293318278048,"Low efficiency","Significant resource reallocation required"
"RYD","SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST",0.217651083566455,"Low efficiency","Significant resource reallocation required"
"RYV","CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST",0.218829263828369,"Low efficiency","Significant resource reallocation required"
"RBS","ALDER HEY CHILDRENS NHS FOUNDATION TRUST",0.224921161086758,"Low efficiency","Significant resource reallocation required"
"RFS","CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",0.227682275052637,"Low efficiency","Significant resource reallocation required"
