"Trust Code","Trust Name","efficiency_vrs","efficiency_vrs_weighted","impact_of_weighting"
"R1H","BARTS HEALTH NHS TRUST",0.103558718191419,0.103558718191419,0
"RBQ","LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST",0.103135558839549,0.103135558839549,0
"RPG","OXLEAS NHS FOUNDATION TRUST",0.0998687287831125,0.0998687287831125,0
"RWW","WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0996106356859098,0.0996106356859098,0
"RWP","WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",0.0966153952740171,0.0966153952740171,0
"RJ2","THE LEWISHAM AND GREENWICH NHS TRUST",0.0929550574543464,0.0929550574543464,0
"RXP","COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",0.090315178791411,0.090315178791411,0
"RXA","CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST",0.0869826711617611,0.0869826711617611,0
"RCF","AIREDALE NHS FOUNDATION TRUST",0.0857254396985113,0.0857254396985113,0
"RWF","MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",0.0853431127525373,0.0853431127525373,0
"RP1","NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.0842839127788469,0.0842839127788469,0
"RRP","BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST",0.0835298755131118,0.0835298755131118,0
"RD8","MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",0.0832125385925718,0.0832125385925718,0
"RBV","THE CHRISTIE NHS FOUNDATION TRUST",0.0823164292604072,0.0823164292604072,0
"RXN","LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",0.0807801844023933,0.0807801844023933,0
"RCU","SHEFFIELD CHILDRENS NHS FOUNDATION TRUST",0.0803766663702344,0.0803766663702344,0
"RNN","NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",0.0778964802529102,0.0778964802529102,0
"RX3","TEES, ESK AND WEAR VALLEYS NHS FOUNDATION TRUST",0.076338102349788,0.076338102349788,0
"RDU","FRIMLEY HEALTH NHS FOUNDATION TRUST",0.0737208238932462,0.0737208238932462,0
"R1F","ISLE OF WIGHT NHS TRUST",0.073637545746751,0.073637545746751,0
"RWH","EAST AND NORTH HERTFORDSHIRE NHS TRUST",0.073392676391783,0.073392676391783,0
"RNQ","KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",0.0715952315919257,0.0715952315919257,0
"RP7","LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST",0.0682248909641263,0.0682248909641263,0
"RBK","WALSALL HEALTHCARE NHS TRUST",0.0671028358142681,0.0671028358142681,0
"RCX","THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST",0.0663408237361824,0.0663408237361824,0
"RW5","LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST",0.0618434046791654,0.0618434046791654,0
"RWV","DEVON PARTNERSHIP NHS TRUST",0.0616471993975718,0.0616471993975718,0
"RL4","THE ROYAL WOLVERHAMPTON NHS TRUST",0.0592341791474696,0.0592341791474696,0
"RXC","EAST SUSSEX HEALTHCARE NHS TRUST",0.0592171469537196,0.0592171469537196,0
"RRV","UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",0.0586411591064941,0.0586411591064941,0
"RGR","WEST SUFFOLK NHS FOUNDATION TRUST",0.0557163445058853,0.0557163445058853,0
"RPA","MEDWAY NHS FOUNDATION TRUST",0.0545506765279302,0.0545506765279302,0
