"Trust","Efficiency","ProfitLoss","ScaleEfficiency","WeightedScore"
"LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST",0.0584120256257634,0.923152271383044,0.998145188767606,0.505780731981316
"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",0.0819976856675446,0.946628142234521,0.894196599754648,0.503826605455058
"CORNWALL PARTNERSHIP NHS FOUNDATION TRUST",0.031938753539358,0.961719287948248,0.990808278030828,0.502646818760319
"EAST SUSSEX HEALTHCARE NHS TRUST",0.0557761621630741,0.947818499098734,0.950754724818616,0.50238457577488
"ISLE OF WIGHT NHS TRUST",0.0702493046607353,0.934227256985691,0.933136748398524,0.50202017910578
"ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",0.0333321392016255,0.96162902296252,0.979238865571056,0.50100254960378
"ROYAL CORNWALL HOSPITALS NHS TRUST",0.123254962985347,0.959875710269764,0.753208250865199,0.500231844746642
"CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST",0.137741263070814,0.758392233531893,0.999999999998348,0.496388301594644
"THE DUDLEY GROUP NHS FOUNDATION TRUST",0.146019155341136,0.80191218108925,0.912465483272751,0.496076328651893
"OXFORD HEALTH NHS FOUNDATION TRUST",0.044854903562197,0.939232263445184,0.939360789389271,0.492069288692508
"SHEFFIELD CHILDRENS NHS FOUNDATION TRUST",0.0770130741301161,0.855021930512563,0.982278681211663,0.49146885246116
"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",0.04232711491964,0.959009986423231,0.90284570094553,0.489435693575895
"DARTFORD AND GRAVESHAM NHS TRUST",0.014870601052175,0.939102652831578,0.996584669542074,0.488483030283976
"THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",0.0488902343486462,0.905150534742335,0.95750300957277,0.487490879511577
"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",0.0745238165435575,0.864140273455652,0.945284577109825,0.485560905730439
"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",0.0408754466298488,0.921888346786552,0.941576414163869,0.485319510183664
"THE CHRISTIE NHS FOUNDATION TRUST",0.0789599318504944,0.906874691996322,0.860348934500348,0.483612160424213
"NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST",0.0809346115894443,0.809028774150069,0.999999999993241,0.483175938038391
"AIREDALE NHS FOUNDATION TRUST",0.0823814110033828,0.847115720987846,0.932432645256244,0.481811950849294
"MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST",0.0457917272803849,0.90285027486282,0.929286073462316,0.479608160791502
"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",0.0351982496523209,0.934455080048073,0.900659145971051,0.478067478034793
"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",0.11170317142898,0.861362774105821,0.814634639993441,0.477187345944925
"ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST",0.046469916046821,0.942306377530801,0.850167439969853,0.475960359276622
"GREATER MANCHESTER MENTAL HEALTH NHS FOUNDATION TRUST",0.0189729300914982,0.928110995557722,0.936664615732659,0.475252686859598
"LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST",0.0648168526818461,0.80958340978081,0.997249236438,0.474733296562766
"SOMERSET NHS FOUNDATION TRUST",0.0100501903928448,0.961273440325223,0.905401672977493,0.474487461889488
"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",0.0217443782306378,0.961813305551664,0.872453897995629,0.473906960379944
